id,en,kor
1,"Please `select` one of sample data or `upload` your own. You can upload data as a `csv`, `xlsx`(Microsoft Excel), `dbf`(dbase 3+), `sav`(SPSS), `dta`(STATA), `sas7bdat`(SAS) format. If you have any error, please upload as a `csv` format.","샘플 `데이타를 선택`하시거나 자료를 `업로드` 하세요. 현재 지원하는 파일 형식은 `csv`,`xlsx`(Microsoft Excel), `dbf`(dbase 3+), `sav`(SPSS), `dta`(STATA), `sas7bdat`(SAS) 파일 등이나 에러가 있을 경우 `csv`형식으로 바꾸어 업로드할 것을 권장합니다."
2,You can preprocess the data by entering the R command(s) here. Please uncheck the checkbox before enter/change the R command(s) and recheck the checkbox.,여기에 R명령어를 입력하면 데이터를 전처리할 수 있습니다. R 명령어를 입력/수정하기 전에 체크박스를 해제하고 입력후 다시 체크박스를 선택하시기 바랍니다.
3,upload file,파일 업로드
4,select Data,데이터선택
5,show help for data,데이터 도움말 보기
6, do Preprocessing,전처리하기
7,Reset Preprocessing,전처리 초기화
8,preprocessing,데이터 전처리하기
9,Data Name,데이터이름
10,Help for Data,데이터 도움말
11,Enter R command as preprocessing,전처리에 사용할 명령어를 입력하세요.
12,Enter valid R command,잘못된 명령어입니다.
13,No information about the data.,데이터에 대한 도움말이 없습니다.
14,Uploaded File,업로드된 파일
0,"With this app, you can perform analysis `without` R in your computer. You can `analyze` data, make `tables` and `plots` and download the report as a `pdf`, `docx` or `pptx` file. You can also download the high-quality plots with desired size and resolution.","자신의 컴퓨터에 R을 설치할 필요 없이 R을 이용한 통계분석을 할 수 있읍니다. 그룹변수와 행변수를 선택하여 쉽게 표를 만들 수 있으며 그래프를 통한 자료 탐색과 여러가지 통계분석이 가능합니다. `자신의 데이타`를 xlsx 또는 csv형식으로 업로드하여 분석을 할 수 있을 뿐 아니라 그 결과를 `pdf`,`docx`,`powerpoint` 파일로 다운로드할 수 있읍니다. 또한 Plot을 원하는 크기로 저장할 수 있읍니다. `표가 보일 때까지 잠시만` 기다려주세요."
15,download as CSV,CSV 형식으로 다운로드
16,download as RDS,RDS 형식으로 다운로드
17,Clean column names,열이름 정리하기
18,Remove empty rows/cols,비어있는 행/열 삭제
19,Use First Row as Label,첫번째 행을 라벨로 사용
20,Reverse the coding,역순으로 만들기
21,Convert to NA(missing value),NA(결측치)로 만들기
22,Remove all NA(missing value),NA(결측치) 있는 자료 모두 제거
23,String to Date,문자열을 날짜로 : 년/월/일 순서 선택
24,Recode 0/1,0/1 로 입력되어 있는 자료를 바꾸기
25,Calculate new column with existing columns,계산해서 새로운 열 만들기
26,Apply Filter,조건에 맞는 자료만 선택(필터)
27,Delete Rows,선택한 행 삭제
28,Summarize Data with mean and se,그룹별 평균과 표준오차로 요약하기
29,Make Long Form,넓은 형태의 자료를 긴 형태로 바꾸기
30,Make Wide Form,긴 형태의 자료를 넓은 형태로 바꾸기
31,Gather,자료 모으기(gather)
32,Spread,자료 펼치기(spread)
33,Arrange,자료 정렬하기
34,Add Row Number,행번호 추가하기
35,Favorite Preprocessing,전처리 쉽게하기
36,Undo,되돌리기
