"year","sex","case","total"
1993,1,1,13783
1993,2,1,13223
1994,1,1,12666
1994,2,2,14842
1995,1,1,13932
1995,2,2,15995
1996,1,2,14525
1996,2,2,17053
1997,1,2,13782
1997,2,2,17181
1998,1,3,16483
1998,2,5,19484
1999,1,3,19385
1999,2,6,18753
2000,1,5,16458
2000,2,5,18907
2001,1,4,20189
2001,2,7,24503
2002,1,3,17983
2002,2,5,19932
2003,1,4,19066
2003,2,5,23931
2004,1,3,16743
2004,2,5,18779
2005,1,4,17512
2005,2,6,20186
2006,1,3,17546
2006,2,6,21123
2007,1,6,18073
2007,2,6,22410
2008,1,5,16590
2008,2,8,18960
2009,1,4,17304
2009,2,8,18086
2010,1,8,20112
2010,2,8,23054
2011,1,5,22110
2011,2,11,23822
